Reference,Superstructure type,Intesnity Measure,Number of spans,Joint type,Soil type,Column type,Skewness,Horizontal curve,Abutment stiffness,"Seismic design (SD, NSD)",States,Retrofitted,"Fault (Near Fault, Far Field,Both,reverse,Strike-Slip)",Time Dependent(years),Environmental Condition,Description,Units,Number of Damage States,Slight DS(median),Slight DS(Dispersion),Moderate DS(median),Moderate DS(Dispersion),Extensive DS(median),Extensive DS(dipersion),Complete DS(median),Complete DS(Dispersion)
"Mander (1999),St,5MSC_SC,NSD_nonCalifonia,Skewed=30,Soil=Type_B",Steel,Sa(1.0),Five,Continuous,Type_B,Single column,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.711666338,0.6,0.711666338,0.6,0.711666338,0.6,0.973859199,0.6
"Mander (1999),St,5MSC_SC,NSD_Califonia,Skewed=30,Soil=Type_B",Steel,Sa(1.0),Five,Continuous,Type_B,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.735856043,0.6,0.735856043,0.6,0.735856043,0.6,1.006960901,0.6
"Mander (1999),St,5MSC_MC,SD,Skewed=30,Soil=Type_B",Steel,Sa(1.0),Five,Continuous,Type_B,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.881090788,0.6,0.881090788,0.6,1.016643217,0.6,1.336159657,0.6
"Mander (1999),St,5MSC_MC,NSD_nonCalifonia,Skewed=30,Soil=Type_B",Steel,Sa(1.0),Five,Continuous,Type_B,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.711666338,0.6,0.711666338,0.6,0.711666338,0.6,0.973859199,0.6
"Mander (1999),St,5MSC_MC,NSD_Califonia,Skewed=30,Soil=Type_B",Steel,Sa(1.0),Five,Continuous,Type_B,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.735856043,0.6,0.735856043,0.6,0.735856043,0.6,1.006960901,0.6
"Mander (1999),C,2MSSS_MC,SD,Soil=Type_C",Concrete,Sa(1.0),Two,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.566470554,0.6,0.782623792,0.6,1.140394669,0.6
"Mander (1999),St,2MSSS_MC,SD,Soil=Type_C",Steel,Sa(1.0),Two,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.566470554,0.6,0.782623792,0.6,1.140394669,0.6
"Mander (1999),PC,2MSSS_MC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.566470554,0.6,0.782623792,0.6,1.140394669,0.6
"Mander (1999),C,2MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Concrete,Sa(1.0),Two,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.260874597,0.6,0.327956637,0.6,0.484481395,0.6
"Mander (1999),St,2MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Steel,Sa(1.0),Two,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.243607152,0.6,0.306248991,0.6,0.452413282,0.6
"Mander (1999),PC,2MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.260874597,0.6,0.327956637,0.6,0.484481395,0.6
"Mander (1999),C,2MSSS_MC,NSD_California,Soil=Type_C",Concrete,Sa(1.0),Two,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.342863757,0.6,0.417399356,0.6,0.618645474,0.6
"Mander (1999),St,2MSSS_MC,NSD_California,Soil=Type_C",Steel,Sa(1.0),Two,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.342863757,0.6,0.417399356,0.6,0.618645474,0.6
"Mander (1999),PC,2MSSS_MC,NSD_California,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.342863757,0.6,0.417399356,0.6,0.618645474,0.6
"Mander (1999),C,2MSSS_SC,SD,Soil=Type_C",Concrete,Sa(1.0),Two,Simply Supported,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.36,0.6,0.655913273,0.6,0.909334311,0.6,1.080766189,0.6
"Mander (1999),PC,2MSSS_SC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Simply Supported,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.36,0.6,0.655913273,0.6,0.909334311,0.6,1.080766189,0.6
"Mander (1999),C,2MSC_SC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.233333333,0.6,0.322911753,0.6,0.384418753,0.6,0.568939755,0.6
"Mander (1999),PC,2MSC_SC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.233333333,0.6,0.322911753,0.6,0.384418753,0.6,0.568939755,0.6
"Mander (1999),C,2MSC_SC,SD,Soil=Type_C",Concrete,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.699642131,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),PC,2MSC_SC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.699642131,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),C,2MSC_SC,NSD_nonCalifonia,Soil=Type_C",Concrete,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.60738163,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),PC,2MSC_SC,NSD_nonCalifonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.60738163,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),C,2MSC_SC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.60738163,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),PC,2MSC_SC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.60738163,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),C,2MSC_MC,SD,Soil=Type_C",Concrete,Sa(1.0),Two,Continuous,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.699642131,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),PC,2MSC_MC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.699642131,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),C,2MSC_MC,NSD_nonCalifonia,Soil=Type_C",Concrete,Sa(1.0),Two,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.60738163,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),PC,2MSC_MC,NSD_nonCalifonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.60738163,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),C,2MSC_MC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Two,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.60738163,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),PC,2MSC_MC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.60738163,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),St,2MSC_SC,SD,Soil=Type_C",Steel,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.699642131,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),St,2MSC_SC,NSD_nonCalifonia,Soil=Type_C",Steel,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.519178839,0.6,0.519178839,0.6,0.710455253,0.6
"Mander (1999),St,2MSC_SC,NSD_Califonia,Soil=Type_C",Steel,Sa(1.0),Two,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.584316505,0.6,0.584316505,0.6,0.799591007,0.6
"Mander (1999),St,2MSC_MC,SD,Soil=Type_C",Steel,Sa(1.0),Two,Continuous,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.699642131,0.6,0.807279382,0.6,1.060995759,0.6
"Mander (1999),St,2MSC_MC,NSD_nonCalifonia,Soil=Type_C",Steel,Sa(1.0),Two,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.519178839,0.6,0.519178839,0.6,0.710455253,0.6
"Mander (1999),St,2MSC_MC,NSD_Califonia,Soil=Type_C",Steel,Sa(1.0),Two,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.584316505,0.6,0.584316505,0.6,0.799591007,0.6
"Mander (1999),C,3MSSS_MC,SD,Soil=Type_C",Concrete,Sa(1.0),Three,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.537401154,0.6,0.74246212,0.6,1.081873375,0.6
"Mander (1999),St,3MSSS_MC,SD,Soil=Type_C",Steel,Sa(1.0),Three,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.537401154,0.6,0.74246212,0.6,1.081873375,0.6
"Mander (1999),PC,3MSSS_MC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.537401154,0.6,0.74246212,0.6,1.081873375,0.6
"Mander (1999),C,3MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Concrete,Sa(1.0),Three,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.247487373,0.6,0.311126984,0.6,0.459619408,0.6
"Mander (1999),St,3MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Steel,Sa(1.0),Three,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.238525564,0.6,0.299860708,0.6,0.442976047,0.6
"Mander (1999),PC,3MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.247487373,0.6,0.311126984,0.6,0.459619408,0.6
"Mander (1999),C,3MSSS_MC,NSD_California,Soil=Type_C",Concrete,Sa(1.0),Three,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.325269119,0.6,0.395979797,0.6,0.586898628,0.6
"Mander (1999),St,3MSSS_MC,NSD_California,Soil=Type_C",Steel,Sa(1.0),Three,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.325269119,0.6,0.395979797,0.6,0.586898628,0.6
"Mander (1999),PC,3MSSS_MC,NSD_California,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.325269119,0.6,0.395979797,0.6,0.586898628,0.6
"Mander (1999),C,3MSSS_SC,SD,Soil=Type_C",Concrete,Sa(1.0),Three,Simply Supported,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.36,0.6,0.622253967,0.6,0.862670273,0.6,1.025304833,0.6
"Mander (1999),PC,3MSSS_SC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Simply Supported,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.36,0.6,0.622253967,0.6,0.862670273,0.6,1.025304833,0.6
"Mander (1999),C,3MSC_SC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.233333333,0.6,0.302218464,0.6,0.359783886,0.6,0.532480151,0.6
"Mander (1999),PC,3MSC_SC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.233333333,0.6,0.302218464,0.6,0.359783886,0.6,0.532480151,0.6
"Mander (1999),C,3MSC_SC,SD,Soil=Type_C",Concrete,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.654806672,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),PC,3MSC_SC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.654806672,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),C,3MSC_SC,NSD_nonCalifonia,Soil=Type_C",Concrete,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.568458539,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),PC,3MSC_SC,NSD_nonCalifonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.568458539,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),C,3MSC_SC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.568458539,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),PC,3MSC_SC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.568458539,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),C,3MSC_MC,SD,Soil=Type_C",Concrete,Sa(1.0),Three,Continuous,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.654806672,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),PC,3MSC_MC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Continuous,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.654806672,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),C,3MSC_MC,NSD_nonCalifonia,Soil=Type_C",Concrete,Sa(1.0),Three,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.568458539,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),PC,3MSC_MC,NSD_nonCalifonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.568458539,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),C,3MSC_MC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Three,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.568458539,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),PC,3MSC_MC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Three,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.568458539,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),St,3MSC_SC,SD,Soil=Type_C",Steel,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.654806672,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),St,3MSC_SC,NSD_nonCalifonia,Soil=Type_C",Steel,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.512960904,0.6,0.512960904,0.6,0.7019465,0.6
"Mander (1999),St,3MSC_SC,NSD_Califonia,Soil=Type_C",Steel,Sa(1.0),Three,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.546871506,0.6,0.546871506,0.6,0.748350482,0.6
"Mander (1999),St,3MSC_MC,SD,Soil=Type_C",Steel,Sa(1.0),Three,Continuous,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.654806672,0.6,0.75554616,0.6,0.993003525,0.6
"Mander (1999),St,3MSC_MC,NSD_nonCalifonia,Soil=Type_C",Steel,Sa(1.0),Three,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.512960904,0.6,0.512960904,0.6,0.7019465,0.6
"Mander (1999),St,3MSC_MC,NSD_Califonia,Soil=Type_C",Steel,Sa(1.0),Three,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.546871506,0.6,0.546871506,0.6,0.748350482,0.6
"Mander (1999),C,4MSSS_MC,SD,Soil=Type_C",Concrete,Sa(1.0),Four,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.527355387,0.6,0.7285831,0.6,1.06164966,0.6
